title,url,price,p
"Продавам перфектен iPhone XR 128GB",https://www.alo.bg/9129920,400 лв.,"Дойде време да се разделя с верен приятел - iPhone XR. Отличен, работи перфектно, никога не е бил на сервиз, няма никакви следи от употреба. С най-новата iOS 17, батерия на 80%. Продавам го със зарядно, кабел, калъф с подсилени ръбове и два протектора от темперирано стъкло. Цена: 400лв (отворен съм за лек коментар) Кой го иска?"
"I phone 15 pro max 1 TB",https://www.alo.bg/9140506,3 300 лв.,"Здравей те Предлагам Смартфон Apple IPhone 15 pro max 1 TB Телефона е Чисто Нов не е Разпечатан Закупен е от Технополис на 8.11.23 с необходимите документи за Устройството (Гаранцията и Касовата бележ.."
"iPhone 11 64 gb",https://www.alo.bg/8419152,600 лв.,"Телефона работи перфектно. Батерията е на 84%. Без драскотини по екрана и гърбът. Пълен комплект зарядно и кутия с документи закупен от Виваком. 4 кейса подарък."
"Iphone 12 неразлечим от нов 100%батерия 64гб",https://www.alo.bg/9100496,650 лв.,"✅Неразлечим от нов ✅iphone 12 ✅100%батерия ✅64г ✅Без драскотини ✅650лв"
"АНОНИМНОСТ и Сигурност в Комуникациите",https://www.alo.bg/7035382,250 лв.,"ВИЖТЕ ВСИЧКИТЕ МИ ОБЯВИ в профила ми Шпионски Магазин- Скрити Камери, Детективски Услуги, Подслушване и Проследяване на Телефони ВСЕКИ ОТ ИЗБРОЕНИТЕ ТУК ПРОДУКТИ, МОЖЕТЕ ДА ГО РАЗГЛЕДАТЕ С ПЪЛНИТЕ МУ.."
"Samsung Galaxy S9+ 64 GB",https://www.alo.bg/9120782,250 лв.,"Използван смартфон Samsung Galaxy S9 светло лилав в отлично състояние, минимални следи от употреба. Към телефона не е включено зарядно. 4GB RAM памет, 64GB вътрешна памет. Изпращане с преглед .."
"Проверка на GSM-и за ШПИОНСКИ софуер",https://www.alo.bg/6216066,50 лв.,"ВИЖТЕ ВСИЧКИТЕ МИ ОБЯВИ ЗА ШПИОНСКА ТЕХНИКА- СКРИТИ КАМЕРИ И ПОДСЛУШВАНЕ НА GSM-и тук в този профил или на www.SPYMASTER.bg Професионална проверка на всички марки и модели смартфони за наличие на в.."
"Iphone 7 plus 128 GB",https://www.alo.bg/8793951,220 лв.,"Продавам отлично работещ телефон. Нормални дребни следи от употреба. Купуван от Техномаркет, с оригинална опаковка, без ремонти и сменяни части. Батерия на 69%. Подарък външна батерия 4000. За Соф.."
"Смартфон Alcatel 1S (2021), Dual Sim, 32GB, 3GB RAM, 4G, Dual Grey",https://www.alo.bg/9081315,150 лв.,"Мобилен телефон Alcatel 1S (2021), Dual Sim, 32GB, 3GB RAM, 4G, Dual Grey Телефона е в отлично състояние. Използван е около 3 месецa. Работи с всички оператори. Продава се с 2-та протектора к.."
"LG L Bello",https://www.alo.bg/8749092,65 лв.,"Телефона работи без проблемно. Без следи от употреба по дисплея, ползван е винаги с протектор. Чудесен телефон за дете или работен телефон с андроид. https://www.gsmarena.com/lg_l_bello-6593.php .."
"телефон за възрастни хора MyPhone + 2GB карта памет, като нов, в гаранция",https://www.alo.bg/9008530,65 лв.,"GSM MyPhone + 2GB micro SD карта памет, като нов, в гаранция до 12.08.2024г. Основни параметри: - размер на дисплея: 2.8 инча - камера: 2 MP - DUAL SIM: да - слот за карта памет - метална рамк.."
"Samsung S9+ 64gb",https://www.alo.bg/9149155,350 лв.,"Апарата е в перфектно състояние и без никакви забележки, външно и технически е изряден. Има оригинални кутия и зарядно Изтекла гаранция, купуван от магазин чисто нов."
"Samsung Galaxy A52s 5G",https://www.alo.bg/9129551,430 лв.,"Телефона е като нов, екрана и калъфа са защитени от първия ден. Закупен март 2023 г. с документи. Пълен комплект. Всичко е оригинално. Включен калъф. Батерията държи страхотно. Лична среща при покупка.."
"Iphone 14 Plus 128Gb черен -*Чисто нов*",https://www.alo.bg/8847029,1 549.99 лв.,"Продавам Apple iPhone 14 Plus 128GB, телефонът е чисто нов не разпечатан, фабрично отключен, пълен комплект. *24 месеца гаранция *възможен бартер *опция за изпращане по куриер с преглед *предлага.."
"Страхотен телефон Самсунг S9 plus",https://www.alo.bg/8580042,349 лв.,"Отличен телефон, добра батерия, няма счупено, спукано, ударено и т.н.."
"Смартфон Nokia 7 Plus, Dual SIM, 64GB, 4G, Black Copper",https://www.alo.bg/9150030,100 лв.,"Продавам Nokia 7 Plus работещ в комплект от оригиналното му зарядно и полиуретанов качествен калъф! Телефона е със сменена оригинална батерия. Екрана е сменен, не е надраскан, но не е оригинален. .."
"Telefoni gsm",https://www.alo.bg/9128721,130 лв.,
"КАТО НОВ 64GB Xiaomi POCO M3 Pro 5G 64GB в Гаранция",https://www.alo.bg/9150015,250 лв.,"Продавам Xiaomi POCO M3 Pro 5G 64GB в гаранция, документи! Работещ! Всичко е оригинално и е в перфектно състояние!"
"Xiaomi Redmi Note 10 5G",https://www.alo.bg/9135126,200 лв.,"Телефона е почти нов всичко работи по него винаги носен с калъф и протектор има зарядно към комплекта"
"Samsung Galaxy Xcover 3 (SM-G388F) 8GB, сив цвят",https://www.alo.bg/8912090,29 лв.,"Samsung Galaxy Xcover 3 (SM-G388F) 8GB, сив цвят Не се включва, не е правен опит за ремонт, дава се с всичко, което е на снимките. Не е счупен, няма външни забележки. Може да се ремонтира или да се п.."
"Цена за двата! Айфон Iphone 4 и 4S бял и черен",https://www.alo.bg/8912048,55 лв.,"Цената е за двата! Айфон Iphone 4 и 4S бял и черен. Работят, дават се в комплект с USB кабели както са на снимките, белият е заключен към акаунт, но предполагам има начин да се отключи. Черният не.."
"MOBIWIRE M300 Black",https://www.alo.bg/9137023,60 лв.,"ХАРАКТЕРИСТИКИ Мрежа 2G мрежа GSM, 900 / 1800 Съдържание Размери 131.8 x 56.5 x 13.2 мм SIM карта Mini SIM Дисплей Тип екран TFT, 262K цвята Резолюция 7.1 cм (2.8 инча), 240 x 320 .."
"Nokia 1200 с фенерче!",https://www.alo.bg/9119317,35 лв.,"Nokia 1200 с фенерче! Уникален и запазен телефон, работи с всички оператори. Със зарядно в комплекта! С нова по мощна батерията за по дълги разговори - 1000mAh 3.7Wh Прекрасен телефон!!!"
"Mobile Huawei Y6",https://www.alo.bg/9116878,150 лв.,"Mobile Huawei Y6 уникален телефон много запазен, работи прекрасно! Дисплей: 5.7” 720x1440px Широчина 73мм Дебелина 7.8мм Височина 152.4мм Тегло 150гр. Радиоприемник Да GPS Да Wi-Fi 802.11b.."
"Mobile Nokia E52 Finland",https://www.alo.bg/9134489,100 лв.,"Уникален и запазен телефон! Размери: 116 x 49 x 9.9 mm, 54 cc (4.57 x 1.93 x 0.39 in) Тегло: 98 g (3.46 oz) ДИСПЛЕЙ Тип TFT, 16M цвята Размер 2,4 инча, 17,8 cm 2 (~31,4% съотношение екран към тя.."
"Смартфон Realme X2 6/64GB",https://www.alo.bg/9104151,180 лв.,"Телефона в отлично техническо и визуално състояние, версията е за китайския пазар и няма Гугъл плей, но е инсталиран допълнително и е свободен за сваляне от интернет пространството. Възможно е лично п.."
"телефон Nokia 3",https://www.alo.bg/9103429,79 лв.,"Телефона е с кутия и документи."
"Sony Ericsson в отлично състояние",https://www.alo.bg/8475425,20 лв.,"Sony Ericsson в отлично състояние. Работещ; без никакви забележки по външния вид. Оригинална батерия. Работи с всички оператори. Налични два броя. Цена за брой 30 лв. При желание може да се закупи и.."
"Телефон Xiaomi Redmi 10 в гаранция",https://www.alo.bg/9058802,300 лв.,"Продавам телефон Xiaomi Redmi 10 в гаранция. Телефона е в оригиналната си кутия и върви комплект с гаранционна карта+касова бележка, зарядно устройство с кабел за бързо зареждане, ръководства за експл.."
"Телефон Lenovo A536 в перфектно състояние",https://www.alo.bg/9046362,100 лв.,"Продавам телефон Lenovo A536 в отлично състояние. Цвят черен. Няма забележки по него. Върви пълен комплект със зарядно с кабел за зареждане, кутия и ръководство за експлоатация. Характеристики: .."
"касетофон айва",https://www.alo.bg/8950041,80 лв.,"касетофон Aiwa модел CA- W51V"
"Sony tc-wr670",https://www.alo.bg/9149211,120 лв.,"Sony tc-wr670. Работи правилно. Има драскотини, моля вижте снимките."
"Радио касетофон Hitachi",https://www.alo.bg/8513852,40 лв.,"Радио касетофон марка Hitachi (Хитачи), модел TRK-510E. Захранване на 220V от електрическата мрежа директно или с четири батерии. Мощност 6W. Честоти FM и MW. Капачето на леглото за аудио касета та не.."
"Жични слушалки ASOMETECH, Active Noise-Cancellation, Heavy Bass",https://www.alo.bg/8811304,50 лв.,"Жични слушалки ASOMETECH с аудио жак 3.5 мм - 2 бр. Цена: 50 лв./бр. 2 бр. удобни и много здрави оригинални жични слушалки ASOMETECH с аудио жак 3.5 мм. Active Noise-Cancellation, Collision Ro.."
